,source,location,text,detective,category,label
148,Public Citizen,"stated on June 29, 2020 in a tweet:","“Taxpayers spent $70,000,000 to develop this drug ( remdesivir).""","By Madeline Heim • July 23, 2020",true,0
149,Joe Biden,"stated on July 20, 2020 in an interview with Joy Reid on MSNBC:","“I, all the way back in January, warned (President Trump that) this pandemic was coming. I talked about what we needed to do.”","By Louis Jacobson • July 22, 2020",mostly-true,1
150,Facebook posts,"stated on July 13, 2020 in in a post:","Quotes President Donald Trump as saying, “Everybody says I’ve done a tremendous job with COVID… I think a little gratitude would be nice. Maybe a big ‘Thank you Mr. President’ is called for.”","By Emily Venezky • July 22, 2020",false,3
151,Donald Trump,"stated on July 19, 2020 in an interview with Fox News' Chris Wallace:",“We have one of the lowest mortality rates in the world” from COVID-19.,"By Louis Jacobson • July 20, 2020",false,3
152,Facebook posts,"stated on July 13, 2020 in Facebook post:",Says Joe Biden has said 150 million Americans died from guns and another 120 million from COVID-19,"By Nusaiba Mizan • July 20, 2020",mostly-true,1
153,Anthony Sabatini,"stated on July 15, 2020 in an interview on CNN:",If you maintain social distancing indoors “there's no reason to have an additional mask on top of that.”,"By Amy Sherman • July 20, 2020",false,3
154,Tom Reed,"stated on July 9, 2020 in a news conference:","Opening the schools “is a local determination, but it’s not a state determination.”","By Jill Terreri Ramos • July 18, 2020",false,3
155,Thom Tillis,"stated on July 7, 2020 in a tweet:",“Cal Cunningham criticized (the Paycheck Protection Program) while his company benefitted.”,"By Paul Specht • July 17, 2020",half-true,1
156,Facebook posts,"stated on July 14, 2020 in a Facebook post:","“You must apply to get your second stimulus check! I’ve already filed for mine and will be receiving $2,000 a month for the rest of the year.”","By Ciara O'Rourke • July 16, 2020",pants-fire,3
157,Viral image,"stated on July 14, 2020 in a Facebook post:",“All the books” have been removed from the classrooms of a Minnesota middle school because administrators “claim that the books cannot be cleaned.”,"By Ciara O'Rourke • July 16, 2020",false,3
158,Viral image,"stated on July 14, 2020 in a Facebook post:","Photo shows “Dr. Fauci, Melinda Gates and Barack Obama at the Wuhan Lab in 2015.”","By Ciara O'Rourke • July 16, 2020",pants-fire,3
159,Facebook posts,"stated on April 16, 2020 in a media website:","""New study: The flu vaccine is 'significantly associated' with an increased risk of coronavirus""","By Emily Venezky • July 16, 2020",false,3
160,Facebook posts,"stated on July 14, 2020 in a Facebook post:","""Wrong"" COVID-19 case count by Orlando Health ""explains the 'outbreak' in Florida.""","By Tom Kertscher • July 16, 2020",false,3
161,Kim Reynolds,"stated on July 14, 2020 in at a press conference:","“Kids are less likely to get it (COVID-19). You know, they’re less likely to spread. So I think there’s some pretty good data out there that will help alleviate some of the concerns.”","By Lyle Muller • July 16, 2020",mostly-true,1
162,Facebook posts,"stated on July 14, 2020 in a Facebook post:","Says FEMA is giving essential workers $1,000.","By Ciara O'Rourke • July 15, 2020",pants-fire,3
163,Facebook posts,"stated on June 26, 2020 in a Facebook post:",“The Supreme Court ruled today NO VOTING BY MAIL !!!”,"By Chris Nichols • July 15, 2020",false,3
164,Facebook posts,"stated on July 8, 2020 in on social media:","Only 56 coronavirus deaths a day was enough to collapse the world economy, even though thousands of people die daily from tuberculosis, hepatitis B, and other diseases.","By Louis Jacobson • July 15, 2020",pants-fire,3
165,Facebook posts,"stated on July 9, 2020 in a post on Facebook:",“No other country” is having a “second wave” of COVID-19 “because they are not trying to unseat a President in November.”,"By Tom Kertscher • July 14, 2020",false,3
166,Facebook posts,"stated on July 4, 2020 in a Facebook post:",Quotes Dr. Denis Mukwege as saying he resigned from the Congolese coronavirus response team because he was ordered to fabricate COVID-19 case and death numbers.,"By Samantha Putterman • July 13, 2020",false,3
167,Tucker Carlson,"stated on July 7, 2020 in a TV segment:","“To children and the vast majority of young and middle-aged adults and the vast majority of teachers, (the coronavirus) poses virtually zero threat.""","By Bill McCarthy • July 13, 2020",barely-true,2
168,Facebook posts,"stated on July 7, 2020 in a Facebook post:","Says COVID-19 testing could be done with mouth swabs, so maybe deeper swabbing is “implanting something.”","By Tom Kertscher • July 13, 2020",barely-true,2
169,Facebook posts,"stated on July 7, 2020 in an image:",Lists eight wealthy politicians and public figures who “got millions (or close to it) in PPP loans.”,"By Daniel Funke • July 13, 2020",half-true,1
170,Facebook posts,"stated on July 9, 2020 in a Facebook post:",“The CDC may have to stop calling COVID-19 an ‘epidemic’ due to a remarkably low death rate.”,"By Tom Kertscher • July 13, 2020",false,3
171,Melissa Melendez,"stated on July 9, 2020 in a tweet:",“There is no science or data to suggest that kids are at risk from COVID.”,"By Chris Nichols • July 10, 2020",false,3
172,Facebook posts,"stated on July 7, 2020 in a Facebook post:","“New Zealand let health experts” rather than politicians make decisions about how to deal with COVID-19, “and as of today they have zero COVID cases.”","By Tom Kertscher • July 10, 2020",mostly-true,1
173,Chris Hayes,"stated on July 7, 2020 in a TV segment:","""Higher education is one of America's strongest export sectors. Over 1 million international students studied at American universities, (in the) 2018-19 school year. They contributed over $40 billion to the economy.”","By Bill McCarthy • July 10, 2020",true,0
174,Dan Forest,"stated on July 4, 2020 in an interview:","Multiple studies “all said for decades, masks do not work with viruses.”","By Paul Specht • July 9, 2020",false,3
175,Viral image,"stated on June 26, 2020 in a Facebook post:",A patient discharge document proves that “The WHO and CDC do NOT recommend that healthy people wear masks.”,"By Ciara O'Rourke • July 9, 2020",barely-true,2
176,Facebook posts,"stated on June 30, 2020 in a Facebook post:",Says Democratic leaders aren’t wearing masks or social distancing in private,"By Eric Litke • July 8, 2020",pants-fire,3
177,Facebook posts,"stated on June 24, 2020 in Facebook post:",“Dr. Fauci: No reason to be wearing a mask.”,"By Sophie Austin • July 8, 2020",barely-true,2
178,Facebook posts,"stated on July 2, 2020 in a meme:",People carrying guns can’t wear face masks to protect against the coronavirus because it’s a “class 4 felony.”,"By Daniel Funke • July 8, 2020",false,3
179,Viral image,"stated on July 7, 2020 in a Facebook post:",Says Anthony Fauci “is married to Ghislaine Maxwell’s sister.”,"By Ciara O'Rourke • July 7, 2020",pants-fire,3
180,Facebook posts,"stated on June 30, 2020 in a Facebook post:",New York state “hospitals reporting thousands of fungus lung infections due to wearing a mask!!”,"By Ciara O'Rourke • July 7, 2020",false,3
181,Bloggers,"stated on June 27, 2020 in an article:",“COVID19 PCR tests are scientifically meaningless.”,"By Daniel Funke • July 7, 2020",pants-fire,3
182,Nancy Pelosi,"stated on June 28, 2020 in ABC News’ “This Week”:",Federal aid for state and local governments through a proposed coronavirus relief bill would amount to “half of what the Republicans put onto the national debt.”,"By Sophie Austin • July 7, 2020",mostly-true,1
183,Donald Trump,"stated on July 4, 2020 in a Fourth of July speech:",Says 99% of COVID-19 cases “are totally harmless.”,"By Jon Greenberg • July 6, 2020",false,3
184,Viral image,"stated on July 4, 2020 in a Facebook post:","“Covid is never going away! This is the beach today in Raleigh, North Carolina.”","By Ciara O'Rourke • July 6, 2020",pants-fire,3
185,Facebook posts,"stated on July 2, 2020 in a Facebook post:","“People are starting to enter ERs with fungal lung infections from wearing masks!!""","By Chris Nichols • July 6, 2020",false,3
186,Viral image,"stated on July 2, 2020 in a Facebook post:",Says BBC prematurely reported “Ghislaine Maxwell moved to intensive care as coronavirus symptoms worsen.”,"By Ciara O'Rourke • July 6, 2020",pants-fire,3
187,Greg Murphy,"stated on June 23, 2020 in a Facebook post:",A study “showed that over 1 million people in North Carolina have now been exposed to the virus.”,"By Paul Specht • July 6, 2020",false,3
188,Joe Biden,"stated on June 30, 2020 in a speech:","“The CDC tried to develop clear guidelines about what the stages of re-opening should look like — the administration delayed and scaled them back.""","By Samantha Putterman • July 6, 2020",mostly-true,1
189,Ron DeSantis,"stated on June 26, 2020 in a press conference:","""I would do press events in May, I would never be asked about coronavirus.''","By Amy Sherman • July 3, 2020",false,3
190,Facebook posts,"stated on June 27, 2020 in a screenshot:",Nurses submitting coronavirus tests say they all are coming back positive.,"By Daniel Funke • July 2, 2020",false,3
191,Facebook posts,"stated on June 29, 2020 in a Facebook post:",“Oklahoma 100% coronavirus test rate after Trump Tulsa rally.”,"By Tom Kertscher • July 2, 2020",false,3
192,Facebook posts,"stated on June 23, 2020 in a Facebook post:",Video of man using an air-quality monitor proves that people are “not getting enough oxygen” while wearing masks,"By Emily Venezky • July 2, 2020",barely-true,2
193,Chris Kapenga,"stated on June 29, 2020 in a TV interview:","“The (COVID-19) cases are going up, but it's because the testing is going up.”","By Eric Litke • July 2, 2020",false,3
194,Democratic Party of Wisconsin,"stated on June 18, 2020 in a news release:","Says Donald Trump used farmers’ struggles “to push through a multi-billion dollar bailout program that was nothing more than a handout for large agricultural companies.""","By Eric Litke • July 2, 2020",barely-true,2
195,Viral image,"stated on April 23, 2020 in a widely-circulated social media post:","COVID-19’s “contagion probability” between two people is 70% if the carrier is not masked, 5% if the carrier is masked, and 1.5% if both parties are.","By Victoria Knight • July 1, 2020",barely-true,2
196,Viral image,"stated on June 17, 2020 in a Facebook post:",“Four kids who took the coronavirus vaccine died immediately.”,"By Madison Czopek • July 1, 2020",false,3
197,Facebook posts,"stated on June 12, 2020 in a Facebook post:",Says Gov. Tony Evers “removed the American flag from the Capitol building”,"By Eric Litke • June 29, 2020",pants-fire,3
198,Viral image,"stated on June 23, 2020 in a viral image:","If you are licensed to carry a concealed weapon, wearing a face covering for coronavirus ""removes your conceal carry ability.""","By Tom Kertscher • June 29, 2020",false,3
199,Viral image,"stated on June 11, 2020 in a Facebook post:","Says Sarah Huckabee Sanders tweeted, “It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?”","By Ciara O'Rourke • June 29, 2020",false,3
200,Facebook posts,"stated on June 23, 2020 in a Facebook post:","In North Carolina, “you can be charged with a class H felony for wearing a mask and concealed carrying.”","By Paul Specht • June 26, 2020",false,3
201,Instagram posts,"stated on June 23, 2020 in an image:",A “face mask exempt card” allows you to cite the ADA and not wear a mask.,"By Daniel Funke • June 26, 2020",false,3
202,Lloyd Doggett,"stated on June 22, 2020 in a tweet:",Hays County in Central Texas has seen an “incredible 845% increase in (COVID-19) cases since June 7.”,"By Madlin Mekelburg • June 26, 2020",mostly-true,1
203,Facebook posts,"stated on June 24, 2020 in an image:",Google and Apple “put a covid tracker on every phone.”,"By Daniel Funke • June 25, 2020",half-true,1
204,Facebook posts,"stated on June 18, 2020 in a Facebook post:",“OSHA says masks don't work” to reduce COVID-19 transmission “and violate OSHA oxygen levels.”,"By Tom Kertscher • June 25, 2020",false,3
205,Dan Forest,"stated on June 22, 2020 in a tweet:","""North Carolina is one of four states"" that hasn't opened gyms.","By Paul Specht • June 25, 2020",true,0
206,Donald Trump,"stated on June 23, 2020 in a tweet:","As of June 23, the COVID-19 death rate is “way down.”","By Louis Jacobson • June 24, 2020",mostly-true,1
207,Donald Trump,"stated on June 23, 2020 in a tweet:",COVID-19 cases are “up only because of our big number testing.”,"By Louis Jacobson • June 24, 2020",false,3
208,Priorities USA Action,"stated on June 22, 2020 in a digital ad:","Says President Trump said coronavirus testing makes the U.S. look bad, ""so I said to my people, ‘Slow the testing down.’""","By Eric Litke • June 24, 2020",true,0
209,Facebook posts,"stated on June 18, 2020 in a Facebook post:",Gov. Gavin Newsom “has no legal authority” to make wearing face coverings mandatory in California.,"By Chris Nichols • June 24, 2020",false,3
210,Viral image,"stated on June 23, 2020 in a Facebook post:","Says Alexandria Ocasio-Cortez tweeted, “It’s vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.”","By Ciara O'Rourke • June 23, 2020",pants-fire,3
211,Donald Trump,"stated on June 20, 2020 in a campaign rally:","“Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”","By Sophie Austin • June 23, 2020",false,3
212,Facebook posts,"stated on June 14, 2020 in a Facebook post:","“Six months before the COVID ‘plandemic,’ Bill Gates had negotiated a $100 billion contact tracing deal with (the) Democratic congressman sponsor of bill.”","By Tom Kertscher • June 22, 2020",false,3
213,Monica Wallace,"stated on June 8, 2020 in a newspaper interview:",Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,"By John Pullano • June 18, 2020",true,0
214,Donald Trump,"stated on June 15, 2020 in remarks during a roundtable discussion:","“If we stopped testing right now, we'd have very few cases, if any.”","By Shefali Luthra • June 17, 2020",pants-fire,3
215,Scott Walker,"stated on June 5, 2020 in a tweet:","There are state workers who are ""idle"" at home during the coronavirus pandemic.","By Lawrence Andrea • June 17, 2020",half-true,1
216,Facebook posts,"stated on June 15, 2020 in a Facebook post:",Says news stories referencing 322 and COVID-19 are proof cases are being “synchronized”,"By Eric Litke • June 16, 2020",pants-fire,3
217,Desiree Rogers,"stated on June 10, 2020 in an interview on CNN:","In COVID-19 crisis, “only 20% of African Americans had jobs where they could work from home.”","By Jon Greenberg • June 16, 2020",true,0
218,Facebook posts,"stated on June 11, 2020 in a social media post:",“The CDC just confirmed a 0.2% death-rate for COVID19.”,"By Chris Nichols • June 16, 2020",barely-true,2
219,Mike Pence,"stated on June 15, 2020 in remarks at the White House:","""In a very real sense, (Oklahoma has) flattened the curve. ... The number of cases in Oklahoma — it's declined precipitously.""","By Louis Jacobson • June 16, 2020",false,3
220,Facebook posts,"stated on June 14, 2020 in a Facebook post:",“FREE HORSES!!!! 52 thoroughbred horses need homes. Will go to Sugarcreek this Sat. for slaughter. Gentleman died due to COVID-19 and his son wants nothing to do with them.”,"By Ciara O'Rourke • June 16, 2020",false,3
221,Viral image,"stated on June 14, 2020 in a Facebook post:",“George Floyd’s ‘murder’ filmed before COVID-19.”,"By Ciara O'Rourke • June 16, 2020",pants-fire,3
222,Facebook posts,"stated on June 11, 2020 in a Facebook post:","“Corona Virus claims a black belt. Chuck Norris, Dead at 80.”","By Madison Czopek • June 15, 2020",false,3
223,Facebook posts,"stated on June 4, 2020 in a Facebook post:","“N95 masks block few, if any” COVID-19 particles due to their size.","By Eric Litke • June 15, 2020",pants-fire,3
224,Andrew Cuomo,"stated on May 20, 2020 in a news conference:",“Why did the state do that with COVID patients in nursing homes? It’s because the state followed President Trump’s CDC guidance.”,"By Jill Terreri Ramos • June 13, 2020",barely-true,2
225,Facebook posts,"stated on June 8, 2020 in a Facebook post:","Wearing masks for the coronavirus “decreases oxygen intake, increases toxin inhalation, shuts down immune system, increases virus risk, scientifically inaccurate, effectiveness not studied.”","By Tom Kertscher • June 12, 2020",false,3
226,George Borrello,"stated on May 11, 2020 in a press release:","“Infection rates in Allegany, Cattaraugus and Chautauqua counties have consistently been among the lowest in the state.”","By Michael Hogan • June 12, 2020",true,0
227,Facebook posts,"stated on June 9, 2020 in an image:",The World Health Organization “now admits that asymptomatic transmission of COVID-19 is very rare.”,"By Daniel Funke • June 11, 2020",half-true,1
228,Facebook posts,"stated on June 1, 2020 in a Facebook post:",“How many of you are aware that the female governor of Michigan is the niece of George Soros?”,"By Ciara O'Rourke • June 10, 2020",pants-fire,3
229,J. Christian Adams,"stated on June 3, 2020 in a House judiciary hearing:","In voting by mail, “hundreds of thousands of ballots have been rejected for defects and millions more end up missing or in landfills.”","By Amy Sherman • June 9, 2020",barely-true,2
230,Glenn Grothman,"stated on May 21, 2020 in news release:",“Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.”,"By Haley BeMiller • June 8, 2020",true,0
231,Viral image,"stated on June 3, 2020 in a Facebook post:",“She’s just casually carrying a body with 1 hand..? Sure.. More evidence of coronavirus being a complete hoax with props & street theater.”,"By Ciara O'Rourke • June 5, 2020",false,3
232,Tim Murtaugh,"stated on May 26, 2020 in a radio interview.:",“You see suicide rates are skyrocketing now…”,"By Warren Fiske • June 4, 2020",false,3
233,Facebook posts,"stated on May 27, 2020 in a Facebook post:","“According to the CDC, so far this year, Florida has had 1,762 deaths from COVID-19 and 5,185 from pneumonia. Average pneumonia deaths in Florida from 2013-2018 for the same time period are 918.”","By Amy Sherman • June 3, 2020",false,3
234,Bloggers,"stated on May 13, 2020 in a story:",Says Nancy Pelosi tried “once again” to include abortion funding in the latest coronavirus bill.,"By Samantha Putterman • June 2, 2020",barely-true,2
235,Scott Manley,"stated on May 19, 2020 in a tweet:","“The new Dane County lockdown policy… (has) effectively killed Badger football, hockey, and basketball for 2020.”","By Lawrence Andrea • June 2, 2020",barely-true,2
236,Darren Jackson,"stated on May 27, 2020 in a tweet:",“Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.”,"By Paul Specht • June 1, 2020",true,0
237,Joe Biden,"stated on May 21, 2020 in a statement:",Says President Donald Trump “took more than a month to allocate Congress’ emergency funding to tribes — and only did so after tribes sued.”,"By Miriam Valverde • June 1, 2020",mostly-true,1
238,Roy Cooper,"stated on May 12, 2020 in a press conference:","“With retail, people are moving around and you don’t have as much a chance to spread the virus (as you do) when people are sitting or standing indoors” for long periods of time.","By Paul Specht • June 1, 2020",mostly-true,1
239,Tammy Baldwin,"stated on May 15, 2020 in a tweet:","""The Trump Administration is trying to take food assistance away from Wisconsin families when people are out of work and struggling.""","By D.L. Davis • June 1, 2020",half-true,1
240,Brian Fitzpatrick,"stated on May 5, 2020 in a radio interview:","“For the World Health Organization, the international entity whose sole responsibility it is to alert the world of global pandemics like this, to miss this, is a huge problem.”","By Jessica Calefati • May 30, 2020",barely-true,2
241,Facebook posts,"stated on May 21, 2020 in a Facebook post:",Says researchers found a “fabric that kills coronaviruses”,"By Eric Litke • May 29, 2020",mostly-true,1
242,Facebook posts,"stated on May 20, 2020 in a Facebook post:",Michigan governor reopened Traverse City “so she could have her daughter's open house.”,"By Tom Kertscher • May 29, 2020",false,3
243,Facebook posts,"stated on May 16, 2020 in a Facebook post:","Says Ohio Gov. Mike DeWine released 4,300 prisoners and is now warning residents of a possible crime wave.","By Samantha Putterman • May 29, 2020",false,3
244,Priorities USA Action,"stated on May 19, 2020 in in a TV and digital ad:","Says President Donald Trump is trying to make $451 billion in Medicare cuts ""in the middle of a deadly pandemic.""","By Victoria Knight • May 29, 2020",barely-true,2
245,Joe Kernen,"stated on May 27, 2020 in an episode of CNBC's ""Squawk Box"":","“We’re down near the low end of per capita deaths ... Most places are at 60 deaths per 100,000. We're at 29.”","By Bill McCarthy • May 28, 2020",barely-true,2
246,Facebook posts,"stated on May 10, 2020 in a Facebook post:",“This is what Bill Gates and George Soros want to do… secretly stick you with a chip while testing you for the coronavirus... the Dems have a bill on the House floor ready to vote on it to require this.”,"By Ciara O'Rourke • May 28, 2020",false,3
247,Tom Tiffany,"stated on May 26, 2020 in a tweet:","Says the state “health secretary says don't go to hospitals or clinics, now the tourism secretary says don't recreate.”","By Laura Schulte • May 28, 2020",barely-true,2
248,Facebook posts,"stated on May 26, 2020 in a Facebook post:","Italy “went against the WHO's ‘law’” against COVID-19 autopsies and “discovered covid is not a virus, but a bacterium” that “clots the blood and reduces the oxygen saturation.”","By Emily Venezky • May 28, 2020",false,3
249,Donald Trump,"stated on May 24, 2020 in a tweet:","“Cases, numbers and deaths (of COVID-19) are going down all over the Country!”","By Louis Jacobson • May 28, 2020",half-true,1
250,Facebook posts,"stated on May 16, 2020 in a Facebook post:",The flu didn't kill any Americans this year.,"By Samantha Putterman • May 27, 2020",pants-fire,3
251,Viral image,"stated on May 22, 2020 in a Facebook post:",A photo shows three men on crosses who “feel like they’re being crucified by being required to stay at home.”,"By Ciara O'Rourke • May 27, 2020",false,3
252,Facebook posts,"stated on May 20, 2020 in an image:","Says Michigan Gov. Gretchen Whitmer’s family spent May 20 at her second home, breaking her own stay-at-home orders.","By Daniel Funke • May 27, 2020",false,3
253,Viral image,"stated on May 24, 2020 in a Facebook post:",A photo shows Gov. Gretchen Whitmer “on Mackinaw Island today ignoring mask and social distancing rules.”,"By Ciara O'Rourke • May 27, 2020",false,3
254,Facebook posts,"stated on May 10, 2020 in a Facebook post:","Nancy Pelosi said ""Congress shall not vote remotely because it is not secure!"" while also saying that “Americans should all vote for president by mail!”","By Tom Kertscher • May 27, 2020",barely-true,2
255,Donald Trump,"stated on May 25, 2020 in a tweet:","“[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker, and did.”","By Jessica Calefati • May 27, 2020",pants-fire,3
256,Facebook posts,"stated on May 18, 2020 in a Facebook post:",Texas and Florida have a “balanced budget” while California is “in debt $54 billion and New York is “in debt $6.1 billion.”,"By Amy Sherman • May 26, 2020",false,3
257,Facebook posts,"stated on May 6, 2020 in a Facebook post:","Amid the COVID-19 outbreak, “Minnesota now has the highest unemployment rate in U.S. history.”","By Tom Kertscher • May 26, 2020",barely-true,2
258,Janel Brandtjen,"stated on April 28, 2020 in Facebook post:",“Children don’t seem to be getting this virus”,"By Madeline Heim • May 22, 2020",barely-true,2
259,Facebook posts,"stated on May 18, 2020 in a Facebook post:","“While California is dying … Gavin (Newsom) is vacationing in Stevensville, MT!”","By Bill McCarthy • May 22, 2020",false,3
260,Facebook posts,"stated on April 11, 2020 in a Facebook post:",“The COVID-19 future vaccine will come with the ID — a mark. The ID tells everyone you are free of COVID.”,"By Ciara O'Rourke • May 22, 2020",false,3
261,Facebook posts,"stated on April 28, 2020 in a Facebook post:","Says if you're refused service at a store for not wearing a mask “call the department of health and report the store. Masks are suggested, not required.”","By Samantha Putterman • May 22, 2020",false,3
262,Bloggers,"stated on May 15, 2020 in a Facebook post:",“Italian Parliament Calls For The Arrest of Bill Gates”,"By Madison Czopek • May 22, 2020",false,3
263,Viral image,"stated on May 20, 2020 in a Facebook post:",A long list shows “new CDC guidelines for reopening schools.”,"By Ciara O'Rourke • May 22, 2020",mostly-true,1
264,Iowa Democratic Party,"stated on April 21, 2020 in an online statement:","Says Joni Ernst ""claims she ‘pushed for’ new funding for hospitals and COVID-19 testing after opposing It for weeks.”","By Sarah Watson • May 21, 2020",half-true,1
265,Joe Biden,"stated on May 14, 2020 in an interview on MSNBC:","The U.S. had 44 CDC staffers “in China to observe what was going on. (President Trump) brought home the vast majority of them, I think left only four in place.”","By Jon Greenberg • May 21, 2020",half-true,1
266,Viral image,"stated on April 27, 2020 in a Facebook post:","“If you have had a flu shot in the last 3-5 years, you will probably test positive” for COVID-19.","By Ciara O'Rourke • May 21, 2020",pants-fire,3
267,Amy Klobuchar,"stated on May 16, 2020 in a tweet:",“80% of the people” want the option of vote by mail,"By Amy Sherman • May 21, 2020",half-true,1
268,Facebook posts,"stated on May 16, 2020 in a Facebook post:",Says a warning label on a box of disposable masks shows that they are ineffective at protecting against the spread of COVID-19.,"By Samantha Putterman • May 21, 2020",false,3
269,Greg Abbott,"stated on May 5, 2020 in a press conference:",“Almost 75 percent of the deaths from COVID-19 in the state of Texas are a result of people contracting COVID-19 who are age 65 and older.”,"By Taylor Goldenstein • May 21, 2020",mostly-true,1
270,Kimberly Lightford,"stated on May 15, 2020 in a TV interview:",The novel coronavirus was “man-made.”,"By Kiannah Sepeda-Miller • May 21, 2020",false,3
271,Dan Bishop,"stated on April 24, 2020 in an interview:",“Half the workforce in the country may have just been idled” by coronavirus.,"By Paul Specht • May 20, 2020",barely-true,2
272,Facebook posts,"stated on May 13, 2020 in a Facebook post:","“Due to the large number of people who will refuse the forthcoming COVID-19 vaccine because it will include tracking microchips, the Gates Foundation is now spending billions to ensure that all medical and dental injections and procedures include the chips.”","By Ciara O'Rourke • May 20, 2020",false,3
273,Nick Freitas,"stated on April 28, 2020 in a Facebook post.:","“VA Democrats authorized for early release over 4,000 inmates, 60% of which are incarcerated for violent offenses.”","By Warren Fiske • May 20, 2020",mostly-true,1
274,Instagram posts,"stated on May 19, 2020 in an Instagram post:","“A lot of people can get an additional $2,400” from the CARES Act “and they can do it every month!”","By Miriam Valverde • May 20, 2020",barely-true,2
275,Donald Trump,"stated on May 19, 2020 in remarks to reporters at the Capitol:","“If you look at the one (hydroxychloroquine) survey, the only bad survey, they were giving it to people that were in very bad shape. They were very old. Almost dead.”","By Jon Greenberg • May 20, 2020",false,3
276,Facebook posts,"stated on April 22, 2020 in a Facebook post:","If you paid rent in March or April, “they got to give” you your money back.","By Tom Kertscher • May 20, 2020",false,3
277,Facebook posts,"stated on May 15, 2020 in a blog post:",“Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA”,"By Emily Venezky • May 20, 2020",false,3
278,Mike Parson,"stated on April 27, 2020 in a tweet:","""All Missouri businesses can open Monday, May 4, under our new Order as long as new guidelines are followed.""","By Jack Kosowski • May 20, 2020",barely-true,2
279,Nancy Pelosi,"stated on May 19, 2020 in a CNN interview:",Says President Donald Trump is “morbidly obese.”,"By Emily Venezky • May 19, 2020",false,3
280,Facebook posts,"stated on May 11, 2020 in a Facebook post:","“Autopsies prove that COVID-19 is” a blood clot, not pneumonia, “and ought to be fought with antibiotics” and the whole world has been wrong in treating the “so-called” pandemic.","By Tom Kertscher • May 19, 2020",pants-fire,3
281,Facebook posts,"stated on May 11, 2020 in a Facebook post:",“Gov. Wolf is not allowing companies that distribute U.S. flags to ship out orders to be placed at veteran’s graves for Memorial Day.”,"By Jessica Calefati • May 19, 2020",mostly-true,1
282,Facebook posts,"stated on May 8, 2020 in a Facebook post:",Says wearing face masks is more harmful to your health than going without one.,"By Samantha Putterman • May 19, 2020",false,3
283,Andy Biggs,"stated on May 7, 2020 in a letter:","""States like New York, Illinois and California have been vocal in their demands for funding to bail out their pension systems, which were failing long before the COVID-19 outbreak, and other programs that aren’t related to this crisis.""","By Jill Terreri Ramos • May 19, 2020",false,3
284,Facebook posts,"stated on May 15, 2020 in a Facebook post:",Dr. Fauci says every American should be microchipped.,"By Madison Czopek • May 19, 2020",false,3
285,Viral image,"stated on March 14, 2020 in a Facebook post:",Says kitchen worker in viral video is potentially spreading coronavirus by blowing into food containers.,"By Ciara O'Rourke • May 19, 2020",false,3
286,Facebook posts,"stated on May 14, 2020 in a Facebook post:","If masks prevent coronavirus, governors would have given them to prison inmates instead of releasing them.","By Tom Kertscher • May 19, 2020",false,3
287,Facebook posts,"stated on May 12, 2020 in a Facebook post:",Anthony Fauci was on the Clinton Foundation board for 20 years and “currently serves on Gates Foundation.”,"By Ciara O'Rourke • May 19, 2020",false,3
288,Facebook posts,"stated on April 30, 2020 in a Facebook post:",“Bill Gates admits his COVID-19 vaccine might kill nearly 1 million people.”,"By Tom Kertscher • May 19, 2020",pants-fire,3
289,Facebook posts,"stated on May 14, 2020 in a text post:",“Hydroxychloroquine cures this ‘virus.’ It just so happens this is the treatment used for radiation sickness!!”,"By Daniel Funke • May 19, 2020",false,3
290,Facebook posts,"stated on April 27, 2020 in a Facebook post:","Hospitals get paid $750 for patients who die from the flu, $17,500 for COVID-19.","By Tom Kertscher • May 18, 2020",false,3
291,Facebook posts,"stated on May 12, 2020 in a Facebook post:","“Pelosi’s new coronavirus bill allows illegals to receive billions in relief funds in past, current, and future payments.”","By Miriam Valverde • May 18, 2020",mostly-true,1
292,Facebook posts,"stated on May 14, 2020 in a Facebook post:","“Cannabis may stop coronavirus from infecting people, study finds.”","By Tom Kertscher • May 18, 2020",barely-true,2
293,Facebook posts,"stated on May 4, 2020 in a Facebook post:","""Bill Gates worked to end livestock production, and is pushing lab grown meat.""","By Bill McCarthy • May 18, 2020",half-true,1
294,Facebook posts,"stated on April 2, 2020 in a Facebook post:","Says only certain face masks are effective and others, such as cloth masks, are not.","By Samantha Putterman • May 18, 2020",false,3
295,Viral image,"stated on April 15, 2020 in a Facebook post:","Nancy Pelosi said, “if you accept a check from Trump, you might as well vote for him.”","By Ciara O'Rourke • May 18, 2020",false,3
