,source,text,type,category,label,English
197, Tudorel Toader,"„Curtea Constituțională a dat o decizie şi preşedintele a revocat-o în baza acelei decizii. Că președintele n-a revocat-o în baza propunerii mele, ci decizia (sic!) Curții Constituționale. Ea este, ea se executa.”", DECLARAȚII Justitie,Adevărat,0,"„Curtea Constituțională a dat o decizie şi preşedintele a revocat-o în baza acelei decizii. Că președintele n-a revocat-o în baza propunerii mele, ci decizia (sic!) Curții Constituționale. Ea este, ea se executa.”"
198, Cristina Elena Dinu,"„Prin această platformă, „Guvernul meu” a copiat din nou prost, în elementele esenţiale, un proiect al PSD. Programul IMM Invest a fost lansat de PSD în 2017, prin OUG 110, care prevedea că antreprenorii se pot adresa băncilor partenere pentru un credit garantat de stat – 80% pentru investiţii şi 50% pentru capital de lucru.”", DECLARAȚII Coronavirus,Fals,3,"„Prin această platformă, „Guvernul meu” a copiat din nou prost, în elementele esenţiale, un proiect al PSD. Programul IMM Invest a fost lansat de PSD în 2017, prin OUG 110, care prevedea că antreprenorii se pot adresa băncilor partenere pentru un credit garantat de stat – 80% pentru investiţii şi 50% pentru capital de lucru.”"
199, Marcel Ciolacu,"„Acum, după două luni de zile și aproape de ridicarea stării de urgență, timp în care învățământul s-a desfășurat on line în România, Guvernul anunță „triumfalist” că ne aflăm în același punct: 'o să facem', 'o să analizăm', 'o să asigurăm'.  Adică NIMIC! Nimic concret pentru a garanta accesul tuturor elevilor la educație, inclusiv a celor 250.000 de copii, de care au aflat abia acum că nu își permit să cumpere tablete sau laptopuri!""", DECLARAȚII Coronavirus,Parțial Adevărat,1,"„Acum, după două luni de zile și aproape de ridicarea stării de urgență, timp în care învățământul s-a desfășurat on line în România, Guvernul anunță „triumfalist” că ne aflăm în același punct: 'o să facem', 'o să analizăm', 'o să asigurăm'.  Adică NIMIC! Nimic concret pentru a garanta accesul tuturor elevilor la educație, inclusiv a celor 250.000 de copii, de care au aflat abia acum că nu își permit să cumpere tablete sau laptopuri!"""
200, Ludovic Orban,"„Primul caz de cetățean român care a fost diagnosticat pozitiv s-a înregistrat în data de 26 februarie. În data de 26 februarie, în Spania erau doi cetățeni diagnosticați pozitiv. Astăzi, în Spania sunt 247.112 cetățeni care au fost diagnosticați pozitiv, iar în România - 13.163. O diferență uriașă, care arată că măsurile severe pe care le-am luat au produs efecte și mai ales comportamentul responsabil al cetățenilor a determinat o reducere drastică a răspândirii virusului în România.”", DECLARAȚII Coronavirus,Trunchiat,2,"„Primul caz de cetățean român care a fost diagnosticat pozitiv s-a înregistrat în data de 26 februarie. În data de 26 februarie, în Spania erau doi cetățeni diagnosticați pozitiv. Astăzi, în Spania sunt 247.112 cetățeni care au fost diagnosticați pozitiv, iar în România - 13.163. O diferență uriașă, care arată că măsurile severe pe care le-am luat au produs efecte și mai ales comportamentul responsabil al cetățenilor a determinat o reducere drastică a răspândirii virusului în România.”"
201, Alfred Simonis,„Guvernul Orban trebuie să trimită urgent avioane militare pentru a aduce în țară românii pe care i-a dus să se infecteze în Germania la cules de sparanghel! Au murit deja oameni acolo! Alți 200 sunt infectați și nu au parte de niciun ajutor!”, DECLARAȚII Coronavirus,Fals,3,„Guvernul Orban trebuie să trimită urgent avioane militare pentru a aduce în țară românii pe care i-a dus să se infecteze în Germania la cules de sparanghel! Au murit deja oameni acolo! Alți 200 sunt infectați și nu au parte de niciun ajutor!”
202, Klaus Iohannis,"„În Senat a trecut, tot tacit, o altă inițiativă a UDMR care, practic, se constituie într-un cod administrativ paralel cu cel existent deja, un fel de cod administrativ în varianta UDMR. Acest cod administrativ introdus de UDMR în circuit parlamentar prevede, de exemplu, ce credeți, obligativitatea limbii maghiare în unele zone din Ardeal. De data aceasta PSD nu poate să spună că nu a știut, fiindcă această inițiativă a trecut prin comisiile Senatului, unde membrii PSD au votat pentru.”", DECLARAȚII Politica,Parțial Adevărat,1,"„În Senat a trecut, tot tacit, o altă inițiativă a UDMR care, practic, se constituie într-un cod administrativ paralel cu cel existent deja, un fel de cod administrativ în varianta UDMR. Acest cod administrativ introdus de UDMR în circuit parlamentar prevede, de exemplu, ce credeți, obligativitatea limbii maghiare în unele zone din Ardeal. De data aceasta PSD nu poate să spună că nu a știut, fiindcă această inițiativă a trecut prin comisiile Senatului, unde membrii PSD au votat pentru.”"
203, Ludovic Orban,"„Guvernul, ministrul Afacerilor Interne, Departamentul pentru Situaţii de Urgenţă nu au interzis niciodată accesul oamenilor în parc. Deciziile de închidere a parcurilor au fost luate de comitetele pentru situaţii de urgenţă, la nivel local, cum este în Bucureşti, decizia de închidere a parcurilor, cred că prima entitate autoritate locală care a luat decizia a fost Primăria sectorului 2, după care a luat decizia şi Primăria Capitalei.”", DECLARAȚII Coronavirus,Adevărat,0,"„Guvernul, ministrul Afacerilor Interne, Departamentul pentru Situaţii de Urgenţă nu au interzis niciodată accesul oamenilor în parc. Deciziile de închidere a parcurilor au fost luate de comitetele pentru situaţii de urgenţă, la nivel local, cum este în Bucureşti, decizia de închidere a parcurilor, cred că prima entitate autoritate locală care a luat decizia a fost Primăria sectorului 2, după care a luat decizia şi Primăria Capitalei.”"
204, Ștefan Radu Oprea,"„Fapte: 52 miliarde lei este valoarea împrumuturilor guvernului PNL de la învestire până acum. Este aceiași guvernare pe datorie ca in 2009 - 2010. (...) Un calcul simplu ne arată că: s-au împrumutat 300 milioane lei pe zi, mai mult și mai scump ca in timpul guvernării PSD. Ultima executie bugetară la martie 2020 arată cum cheltuielile cu dobanzile au crescut cu 12% (plus 383 milioane lei) în timpul guvernării PNL fata de guvernarea PSD. Chiar BNR dă de gol guvernarea PNL că se împrumută mai scump cu 12-15% față de acum 2 luni.”", DECLARAȚII Politica,Trunchiat,2,"„Fapte: 52 miliarde lei este valoarea împrumuturilor guvernului PNL de la învestire până acum. Este aceiași guvernare pe datorie ca in 2009 - 2010. (...) Un calcul simplu ne arată că: s-au împrumutat 300 milioane lei pe zi, mai mult și mai scump ca in timpul guvernării PSD. Ultima executie bugetară la martie 2020 arată cum cheltuielile cu dobanzile au crescut cu 12% (plus 383 milioane lei) în timpul guvernării PNL fata de guvernarea PSD. Chiar BNR dă de gol guvernarea PNL că se împrumută mai scump cu 12-15% față de acum 2 luni.”"
205, Dan Răzvan Rădulescu,"„Conform datelor publicate de Institutul de Știinţe ale Educaţiei, peste 64% dintre elevii din România nu posedă dispozitive care să permită învăţarea electronică şi au acces limitat la internet. În acelaşi timp, 21,5% dintre copiii României trăiesc la limita sărăciei.”", DECLARAȚII Educatie,Adevărat,0,"„Conform datelor publicate de Institutul de Știinţe ale Educaţiei, peste 64% dintre elevii din România nu posedă dispozitive care să permită învăţarea electronică şi au acces limitat la internet. În acelaşi timp, 21,5% dintre copiii României trăiesc la limita sărăciei.”"
206, Marius Budai," „România are, din nefericire, a zecea cea mai ridicată rată a mortalității persoanelor infectate din UE, iar Iohannis și PNL consideră că și-au făcut datoria!”.", DECLARAȚII Coronavirus,Adevărat,0," „România are, din nefericire, a zecea cea mai ridicată rată a mortalității persoanelor infectate din UE, iar Iohannis și PNL consideră că și-au făcut datoria!”."
207, Florin Câțu,„Am reușit imposibilul. În aprilie 2020 am finanțat deficitul bugetar la o dobândă medie de 3.5% pe an în timp ce guvernul socialist în aprilie 2019 finanța deficitul bugetar la o dobândă medie de 4.5%. ”, DECLARAȚII Finante,Trunchiat,2,„Am reușit imposibilul. În aprilie 2020 am finanțat deficitul bugetar la o dobândă medie de 3.5% pe an în timp ce guvernul socialist în aprilie 2019 finanța deficitul bugetar la o dobândă medie de 4.5%. ”
208, Ludovic Orban,"„Guvernul, prin intermediul Comitetului Național pentru Situații Special de Urgență, a început bătălia cu Covid înainte de instituirea de către Președintele României a stării de urgență, respectiv 15 martie. Noi am început să luăm măsuri încă de la izbucnirea epidemiei în China și am luat măsuri care nu au fost luate de alte țări [...]”", DECLARAȚII Coronavirus,Parțial Adevărat,1,"„Guvernul, prin intermediul Comitetului Național pentru Situații Special de Urgență, a început bătălia cu Covid înainte de instituirea de către Președintele României a stării de urgență, respectiv 15 martie. Noi am început să luăm măsuri încă de la izbucnirea epidemiei în China și am luat măsuri care nu au fost luate de alte țări [...]”"
209, Gabriela Firea,"„Guvernul nu se gândește, încă, la situația acestor părinți care nu au unde să lase copiii [...] colegii mei parlamentari au elaborat un proiect de lege care prevedea o compensație de 75% pentru unul dintre părinți, care va rămâne acasă pentru îngrijirea copiilor.”", DECLARAȚII Coronavirus,Fals,3,"„Guvernul nu se gândește, încă, la situația acestor părinți care nu au unde să lase copiii [...] colegii mei parlamentari au elaborat un proiect de lege care prevedea o compensație de 75% pentru unul dintre părinți, care va rămâne acasă pentru îngrijirea copiilor.”"
210, Klaus Iohannis,"„Avem un exemplu din Franța, unde într-o provincie s-a deschis experimental școala, și experimentul nu a decurs foarte bine. După puține zile, zeci de elevi au fost testați pozitiv și mai mulți dascăli au ajuns, în doar câteva zile, la terapie intensivă.”", DECLARAȚII Coronavirus,Fals,3,"„Avem un exemplu din Franța, unde într-o provincie s-a deschis experimental școala, și experimentul nu a decurs foarte bine. După puține zile, zeci de elevi au fost testați pozitiv și mai mulți dascăli au ajuns, în doar câteva zile, la terapie intensivă.”"
211, Lucian Romascanu,"„(...) legea cu Ținutul Secuiesc a trecut tacit pentru că, urmare inconștienței unui senator liberal infectat cu noul coronavirus, parlamentul a trebuit să fie închis.”", DECLARAȚII Social,Fals,3,"„(...) legea cu Ținutul Secuiesc a trecut tacit pentru că, urmare inconștienței unui senator liberal infectat cu noul coronavirus, parlamentul a trebuit să fie închis.”"
212, Alfred Simonis,„PSD a votat întotdeauna împotriva unor astfel de inițiative. Și acum și în ultimii 15 ani de când tot sunt depuse astfel de inițiative.”, DECLARAȚII Social,Adevărat,0,„PSD a votat întotdeauna împotriva unor astfel de inițiative. Și acum și în ultimii 15 ani de când tot sunt depuse astfel de inițiative.”
213, Dan Barna,"„Am fost azi singurul membru al Comisiei pentru politică externă din Camera Deputaților care a votat împotriva unui acord de ratificare a unui împrumut de 40 de milioane de euro pentru Jandarmerie de la Banca Internațională pentru Reconstrucție și Dezvoltare. În primul rând pe motive de oportunitate.  40 de milioane care vor trebui desigur restituiți, cu dobânzi și comisioane atașate, până în 2029.”", DECLARAȚII Externe,Adevărat,0,"„Am fost azi singurul membru al Comisiei pentru politică externă din Camera Deputaților care a votat împotriva unui acord de ratificare a unui împrumut de 40 de milioane de euro pentru Jandarmerie de la Banca Internațională pentru Reconstrucție și Dezvoltare. În primul rând pe motive de oportunitate.  40 de milioane care vor trebui desigur restituiți, cu dobânzi și comisioane atașate, până în 2029.”"
214, Mihai Fifor,„Toate statele care sunt pe punctul de a relaxa restricțiile pentru pornirea economiei sunt campioane la testele de coronavirus.”, DECLARAȚII Coronavirus,Trunchiat,2,„Toate statele care sunt pe punctul de a relaxa restricțiile pentru pornirea economiei sunt campioane la testele de coronavirus.”
215, Gabriela Firea,"„Este ştiut faptul că spre exemplu în Bucureşti, (...), de trei ani de zile spitalele care aparţin Primăriei Capitalei sunt mult mai dotate, s-au făcut investiţii anual de 100 de milioane de euro în toate spitalele (...). """, DECLARAȚII Sanatate,Fals,3,"„Este ştiut faptul că spre exemplu în Bucureşti, (...), de trei ani de zile spitalele care aparţin Primăriei Capitalei sunt mult mai dotate, s-au făcut investiţii anual de 100 de milioane de euro în toate spitalele (...). """
216, Călin Popescu Tăriceanu,"„Cred că și Președintele a realizat că 66.000 de testări nu înseamnă 66.000 de persoane, ci mai puțin. Mult mai puțin. Adică, în jur de 22.000 români au fost testați. Și dacă la 22.000 de români testați cifra celor îmbolnăviți este de peste 6.600, atunci situația este cu adevărat dramatică”", DECLARAȚII Coronavirus,Trunchiat,2,"„Cred că și Președintele a realizat că 66.000 de testări nu înseamnă 66.000 de persoane, ci mai puțin. Mult mai puțin. Adică, în jur de 22.000 români au fost testați. Și dacă la 22.000 de români testați cifra celor îmbolnăviți este de peste 6.600, atunci situația este cu adevărat dramatică”"
217, Ludovic Orban,"„Ne-am pus la curent cu situația și cu proiectele institutului (n.r. Institutul Național de Cercetare-Dezvoltare Medico-Militară ""Cantacuzino) Vă voi spune pe scurt, în privința laboratorului în care se fac testări pentru Covid - are o capacitate de 500 de teste pe zi care poate fi crescută în funcție de necesități.”", DECLARAȚII Coronavirus,Adevărat,0,"„Ne-am pus la curent cu situația și cu proiectele institutului (n.r. Institutul Național de Cercetare-Dezvoltare Medico-Militară ""Cantacuzino) Vă voi spune pe scurt, în privința laboratorului în care se fac testări pentru Covid - are o capacitate de 500 de teste pe zi care poate fi crescută în funcție de necesități.”"
218, Marcel Ciolacu,„Ei și-au îndeplinit obligațiile cetățenești: au stat în case și au respectat regulile impuse de autorități”., DECLARAȚII Coronavirus,Parțial Adevărat,1,„Ei și-au îndeplinit obligațiile cetățenești: au stat în case și au respectat regulile impuse de autorități”.
219, Brigitte Clotilde Armand,"„Să demontăm propaganda rusă. Am scris mai jos că România primeşte 3 miliarde de euro din partea UE pentru combaterea COVID19. Apoi, m-au întrebat mulţi cetăţeni care este suma pentru Franţa şi Germania. Iată: Franţa - 650 milioane euro şi Germania - 826 milioane euro. România - 3.079 milioane”", DECLARAȚII Coronavirus,Parțial Adevărat,1,"„Să demontăm propaganda rusă. Am scris mai jos că România primeşte 3 miliarde de euro din partea UE pentru combaterea COVID19. Apoi, m-au întrebat mulţi cetăţeni care este suma pentru Franţa şi Germania. Iată: Franţa - 650 milioane euro şi Germania - 826 milioane euro. România - 3.079 milioane”"
220, Dumitru Oprea,"„Din păcate, România a înregistrat cel mai mic procent, doar 5,2% din PIB alocat pentru cheltuielile curente de asistenţă medicală, dar şi cea mai mică sumă alocată per locuitor, de 490 de euro, fapt care ne situează pe ultimul loc din UE şi la acest capitol.”", DECLARAȚII Coronavirus,Adevărat,0,"„Din păcate, România a înregistrat cel mai mic procent, doar 5,2% din PIB alocat pentru cheltuielile curente de asistenţă medicală, dar şi cea mai mică sumă alocată per locuitor, de 490 de euro, fapt care ne situează pe ultimul loc din UE şi la acest capitol.”"
221, Adrian Dohotaru,„Se dau mai multe amenzi decât se fac teste pentru sănătatea noastră.”, DECLARAȚII Coronavirus,Adevărat,0,„Se dau mai multe amenzi decât se fac teste pentru sănătatea noastră.”
222, Florin Câțu,"„Avem programul de şomaj tehnic care este un program generos – Polonia, de exemplu, oferă doar 40% din salariu, noi mergem până la 75%.”", DECLARAȚII Coronavirus,Trunchiat,2,"„Avem programul de şomaj tehnic care este un program generos – Polonia, de exemplu, oferă doar 40% din salariu, noi mergem până la 75%.”"
223, Siegfried Mureșan,Comisia Europeană a adoptat astăzi solicitarea mea de a suspenda taxele de import la echipamentele medicale și de protecție din afara Uniunii Europene pentru combaterea COVID-19., DECLARAȚII Coronavirus,Trunchiat,2,Comisia Europeană a adoptat astăzi solicitarea mea de a suspenda taxele de import la echipamentele medicale și de protecție din afara Uniunii Europene pentru combaterea COVID-19.
224, Florin Câțu,"„Această ordonanță este unică în Europa, pentru că se referă la toți debitorii, persoane fizice și juridice, pentru toate tipurile de credit, aici nu am făcut nicio discriminare. În al doilea rând, vreau să repet faptul că se aplică suspendarea pentru o perioadă până la nouă luni.”", DECLARAȚII Coronavirus,Fals,3,"„Această ordonanță este unică în Europa, pentru că se referă la toți debitorii, persoane fizice și juridice, pentru toate tipurile de credit, aici nu am făcut nicio discriminare. În al doilea rând, vreau să repet faptul că se aplică suspendarea pentru o perioadă până la nouă luni.”"
225, Violeta Alexandru,"„Nu există nicio evaluare într-un singur loc a tuturor angajaților din sistemul public și am mai vorbit despre acest lucru. (...) Nu că nu știm astăzi, n-am știut niciodată câți angajați sunt în sectorul public. Nu există o centralizare la nivelul țării cu privire la toți angajații din toate primăriile, toți angajații din toate consiliile județene, toate prefecturile, toate companiile.”", DECLARAȚII Munca,Fals,3,"„Nu există nicio evaluare într-un singur loc a tuturor angajaților din sistemul public și am mai vorbit despre acest lucru. (...) Nu că nu știm astăzi, n-am știut niciodată câți angajați sunt în sectorul public. Nu există o centralizare la nivelul țării cu privire la toți angajații din toate primăriile, toți angajații din toate consiliile județene, toate prefecturile, toate companiile.”"
226, Gabriel Mutu,"„Astfel cea mai rapidă metodă (n.r. apa oxigenată) de a dezinfecta peste 2500 de hectare, din cele 3800 ale sectorului nostru, la 1 ban/mp se adaugă de astăzi programului nostru de combatere a noului coronavirus, CoVID19.""", DECLARAȚII Coronavirus,Fals,3,"„Astfel cea mai rapidă metodă (n.r. apa oxigenată) de a dezinfecta peste 2500 de hectare, din cele 3800 ale sectorului nostru, la 1 ban/mp se adaugă de astăzi programului nostru de combatere a noului coronavirus, CoVID19."""
227, Cristian Ghinea,„Moștenire din comunism: românii sunt în autoizolare în cele mai mici și mai aglomerate locuințe din UE. Românii trăiesc în continuare în cele mai mici locuințe din UE. Media unei locuințe la noi este de 40 de metri pătrați.”, DECLARAȚII Coronavirus,Parțial Adevărat,1,„Moștenire din comunism: românii sunt în autoizolare în cele mai mici și mai aglomerate locuințe din UE. Românii trăiesc în continuare în cele mai mici locuințe din UE. Media unei locuințe la noi este de 40 de metri pătrați.”
228, Cosette Chichirău,"„Avem de departe cel mai mare număr de cadre medicale infectate din toate state care trec prin pandemie, aproape 15% din cazurile confirmate față de Italia cu 9%! ”", DECLARAȚII Sanatate,Parțial Adevărat,1,"„Avem de departe cel mai mare număr de cadre medicale infectate din toate state care trec prin pandemie, aproape 15% din cazurile confirmate față de Italia cu 9%! ”"
229, Lia Olguța Vasilescu,"„Hai sa ne întoarcem la cifrele din guvernarea PSD: 2019 - bugetul Sănătății era de 14,9 miliarde lei. Anul 2020, guvern PNL: bugetul Sănătății este de 11.5 miliarde. Acum mai adăugă 42 de milioane. Infim față de necesități!”", DECLARAȚII Coronavirus,Parțial Adevărat,1,"„Hai sa ne întoarcem la cifrele din guvernarea PSD: 2019 - bugetul Sănătății era de 14,9 miliarde lei. Anul 2020, guvern PNL: bugetul Sănătății este de 11.5 miliarde. Acum mai adăugă 42 de milioane. Infim față de necesități!”"
230, Victor Costache,"„Am avizat un parteneriat și un program care va demara rapid. Vrem să se testeze toată populația Bucureștiului printr-o serie de echipe care vor merge door to door (din ușă în ușă- n.red.), după modelul Coreei de Sud. Este foarte important să facem milioane de teste. Până la sfârșitul săptămânii, vom avea încă 200.000 de teste. Am pornit cu un singur centru de testare în ianuarie și acum avem cel puțin 20 și vrem să avem 1-2 la nivel județean.”", DECLARAȚII Coronavirus,Trunchiat,2,"„Am avizat un parteneriat și un program care va demara rapid. Vrem să se testeze toată populația Bucureștiului printr-o serie de echipe care vor merge door to door (din ușă în ușă- n.red.), după modelul Coreei de Sud. Este foarte important să facem milioane de teste. Până la sfârșitul săptămânii, vom avea încă 200.000 de teste. Am pornit cu un singur centru de testare în ianuarie și acum avem cel puțin 20 și vrem să avem 1-2 la nivel județean.”"
231, Raluca Turcan,"„Am triplat capacitatea de testare a potențialilor bolnavi cu coronavirus! Dacă în urmă cu câteva zile se puteau face în medie 600 de teste pe zi, astăzi se pot testa aproximativ 1700 de pacienți.”", DECLARAȚII Coronavirus,Trunchiat,2,"„Am triplat capacitatea de testare a potențialilor bolnavi cu coronavirus! Dacă în urmă cu câteva zile se puteau face în medie 600 de teste pe zi, astăzi se pot testa aproximativ 1700 de pacienți.”"
232, Costel Alexe,"„Aş vrea să vă spun că, în Maramureş, la Ocolul Sighet, a fost descoperită poate cea mai mare tăiere ilegală din România, în ultimii cinci ani.”", DECLARAȚII Mediu,Parțial Adevărat,1,"„Aş vrea să vă spun că, în Maramureş, la Ocolul Sighet, a fost descoperită poate cea mai mare tăiere ilegală din România, în ultimii cinci ani.”"
233, Claudiu Nasui,„Cheltuielile pe sănătate au crescut de peste 3.5 ori în ultimii 12 ani. Asta în timp ce numărul de pacienți a scăzut cu 16%.”, DECLARAȚII Sanatate,Trunchiat,2,„Cheltuielile pe sănătate au crescut de peste 3.5 ori în ultimii 12 ani. Asta în timp ce numărul de pacienți a scăzut cu 16%.”
234, Liviu Plesoianu,"„37.000 de morți din 40.000.000 de bolnavi de gripă obișnuită (câți au fost în SUA în 2019) înseamnă 0,09% mortalitate. 22 de morți din 546 infectați cu coronavirus înseamnă 4,02% mortalitate. Dacă s-ar îmbolnăvi de coronavirus câți s-au îmbolnăvit de gripă obișnuită (40.000.000), atunci 4,02% ar însemna 1.608.000 de morți. ”", DECLARAȚII Externe,Parțial Adevărat,1,"„37.000 de morți din 40.000.000 de bolnavi de gripă obișnuită (câți au fost în SUA în 2019) înseamnă 0,09% mortalitate. 22 de morți din 546 infectați cu coronavirus înseamnă 4,02% mortalitate. Dacă s-ar îmbolnăvi de coronavirus câți s-au îmbolnăvit de gripă obișnuită (40.000.000), atunci 4,02% ar însemna 1.608.000 de morți. ”"
235, Vlad Alexandrescu,"„România nu este un exportator de alimente, este o țară dependentă de importuri, cu un deficit semnificativ.”", DECLARAȚII Economie,Parțial Adevărat,1,"„România nu este un exportator de alimente, este o țară dependentă de importuri, cu un deficit semnificativ.”"
236, Costel Alexe,"„Planul integrat de calitate al aerului din Bucureşti are 20 de măsuri, din care până acum şase nu au fost implementate deloc.”", DECLARAȚII Mediu,Adevărat,0,"„Planul integrat de calitate al aerului din Bucureşti are 20 de măsuri, din care până acum şase nu au fost implementate deloc.”"
237, Ludovic Orban,",,În acest sens, este suficient să vedem datele privind evoluția numărului de cazuri în țări europene.De exemplu, în data de 26 februarie, când în România era un singur caz, în Austria erau două cazuri, în Spania erau două cazuri. Comparativ, în data de ieri (14 martie ), în România erau 123 de cazuri, în Austria erau înregistrate peste 500 de cazuri, iar în Spania erau înregistrate 4.221 de cazuri.”", DECLARAȚII Coronavirus,Trunchiat,2,",,În acest sens, este suficient să vedem datele privind evoluția numărului de cazuri în țări europene.De exemplu, în data de 26 februarie, când în România era un singur caz, în Austria erau două cazuri, în Spania erau două cazuri. Comparativ, în data de ieri (14 martie ), în România erau 123 de cazuri, în Austria erau înregistrate peste 500 de cazuri, iar în Spania erau înregistrate 4.221 de cazuri.”"
238, Klaus Iohannis,„În Europa practic nu se mai poate circula.”, DECLARAȚII Coronavirus,Parțial Adevărat,1,„În Europa practic nu se mai poate circula.”
239, Siegfried Mureșan,"„(...) În România, fiecare persoană suspectă de COVID-19 este testată, iar fiecare persoană depistată pozitiv este testată din nou și știm exact când se însănătoșește. În alte țări europene, acest lucru nu se întâmplă. Persoanele îmbolnăvite nu sunt testate din nou, lucru dovedit de numărul mic de vindecați înregistrat, comparativ cu numărul de îmbolnăviri. În România, fiecare pacient suspect de COVID-19 sau contact al unei persoane infestate cu COVID-19 este testat. După ce se dovedește a fi pozitiv, este internat la un spital de boli infecțioase. Apoi, este testat din nou. De aceea, avem o evidență foarte clară a persoanelor îmbolnăvite și a persoanelor însănătoșite.""", DECLARAȚII Coronavirus,Fals,3,"„(...) În România, fiecare persoană suspectă de COVID-19 este testată, iar fiecare persoană depistată pozitiv este testată din nou și știm exact când se însănătoșește. În alte țări europene, acest lucru nu se întâmplă. Persoanele îmbolnăvite nu sunt testate din nou, lucru dovedit de numărul mic de vindecați înregistrat, comparativ cu numărul de îmbolnăviri. În România, fiecare pacient suspect de COVID-19 sau contact al unei persoane infestate cu COVID-19 este testat. După ce se dovedește a fi pozitiv, este internat la un spital de boli infecțioase. Apoi, este testat din nou. De aceea, avem o evidență foarte clară a persoanelor îmbolnăvite și a persoanelor însănătoșite."""
240, Siegfried Mureșan,"„Odată ce s-au atins 100 de cazuri într-o țară, tendința este ca, după 7 zile, să se ajungă deja la 1.000 de cazuri.""", DECLARAȚII Coronavirus,Parțial Adevărat,1,"„Odată ce s-au atins 100 de cazuri într-o țară, tendința este ca, după 7 zile, să se ajungă deja la 1.000 de cazuri."""
241, Virgil Popescu,„În România nu mai produce nimeni biocide (...)”, DECLARAȚII Coronavirus,Fals,3,„În România nu mai produce nimeni biocide (...)”
242, Raluca Turcan,"„În fața pericolului bolii, suntem toți la fel, urmăm aceleași reguli. Facem acum testul, așteptăm aici rezultatul, prevenim răspândirea virusului.”", DECLARAȚII Coronavirus,Fals,3,"„În fața pericolului bolii, suntem toți la fel, urmăm aceleași reguli. Facem acum testul, așteptăm aici rezultatul, prevenim răspândirea virusului.”"
243, Aurelian Bădulescu,"„Eu pot lua din bugetul Municipiului București, dar nu am voie pentru că nu este activată Ordonanța 21, și anume starea de alertă, care este antecamera stării de urgență, pentru ca eu să pot umbla în buget. Altfel, eu nu pot umbla în buget decât pentru capitolele bugetare pe care le-am aprobat.”", DECLARAȚII Coronavirus,Trunchiat,2,"„Eu pot lua din bugetul Municipiului București, dar nu am voie pentru că nu este activată Ordonanța 21, și anume starea de alertă, care este antecamera stării de urgență, pentru ca eu să pot umbla în buget. Altfel, eu nu pot umbla în buget decât pentru capitolele bugetare pe care le-am aprobat.”"
244, Florina Presadă,"„Orice angajator poate da o decizie prin care angajații să poată lucra de acasă pe perioada necesară siguranței lor. O spune clar Codul Muncii (art. 48) și o confirmă Ministerul Muncii. În situații precum cea de față, nu e nevoie de miile de acte adiționale prevăzută de Legea privind telemunca.”", DECLARAȚII Coronavirus,Adevărat,0,"„Orice angajator poate da o decizie prin care angajații să poată lucra de acasă pe perioada necesară siguranței lor. O spune clar Codul Muncii (art. 48) și o confirmă Ministerul Muncii. În situații precum cea de față, nu e nevoie de miile de acte adiționale prevăzută de Legea privind telemunca.”"
245, Dacian Cioloș,„Guvernul PSD a fost atenționat de Comisia Europeană încă din primăvara anului 2017 despre depășirea plafonului de deficit bugetar.”, DECLARAȚII Economie,Trunchiat,2,„Guvernul PSD a fost atenționat de Comisia Europeană încă din primăvara anului 2017 despre depășirea plafonului de deficit bugetar.”
246, Vlad Voiculescu,"„(...) Persoanele trecute de 50 de ani au cel mai mare risc de deces dacă se infectează cu noul Coronavirus. Părinții și bunicii noștri sunt cei mai vulnerabili, alături de cei cu diverse afecțiuni (diabet, boli pulmonare, hipertensiune, afecțiuni cardiovasculare, cancer).”", DECLARAȚII Coronavirus,Adevărat,0,"„(...) Persoanele trecute de 50 de ani au cel mai mare risc de deces dacă se infectează cu noul Coronavirus. Părinții și bunicii noștri sunt cei mai vulnerabili, alături de cei cu diverse afecțiuni (diabet, boli pulmonare, hipertensiune, afecțiuni cardiovasculare, cancer).”"
247, Florin Roman,„Aproape 20% dintre parlamentarii care au intrat în Parlament în 2016 pe lista unui partid între timp au trecut la alte partide sau sunt independenți sau neafiliați.”, DECLARAȚII Politica,Parțial Adevărat,1,„Aproape 20% dintre parlamentarii care au intrat în Parlament în 2016 pe lista unui partid între timp au trecut la alte partide sau sunt independenți sau neafiliați.”
248, Florin Roman,"„Dacă e să ne uităm la diferența între declarații publice și votul efectiv, o să vedeți de exemplu că în cazul Pro România, mult mai mulți membri ai grupului parlamentar au votat și celelalte guverne, deși Victor Ponta anunțase că nu va fi un vot de exemplu pentru Guvernul Orban II. Dacă vă uitați la ALDE, e aceeași situație, au fost mai mulți parlamentari care au votat Guvernul (…).”", DECLARAȚII Politica,Adevărat,0,"„Dacă e să ne uităm la diferența între declarații publice și votul efectiv, o să vedeți de exemplu că în cazul Pro România, mult mai mulți membri ai grupului parlamentar au votat și celelalte guverne, deși Victor Ponta anunțase că nu va fi un vot de exemplu pentru Guvernul Orban II. Dacă vă uitați la ALDE, e aceeași situație, au fost mai mulți parlamentari care au votat Guvernul (…).”"
